Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,Unnamed: 28,Name-additional
Matt Festa,31,us US,R,R,"6' 1""",195,Mar 11 1993,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,,,festama01
Ben Gamel,32,us US,L,L,"5' 10""",180,May 17 1992,9,18,8,18,15,0,0,0,0,0,0,7,0,10,15,2,2,4,0.0,,,gamelbe01
Reed Garrett,31,us US,R,R,"6' 2""",195,Jan 2 1993,4,53,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$740,000 ",,garrere01
Grant Hartwig,26,us US,R,R,"6' 5""",235,Dec 18 1997,2,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$740,000 ",,hartwgr01
Adrian Houser,31,us US,R,R,"6' 3""",242,Feb 2 1993,8,23,7,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,"$5,050,000 ",,housead01
Joe Hudson,33,us US,R,R,"5' 11""",210,May 21 1991,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"$740,000 ",,hudsojo03
Jose Iglesias,34,cu CU,R,R,"5' 11""",195,Jan 5 1990,12,85,69,85,85,0,0,0,61,36,6,0,0,0,0,0,4,4,3.1,,,iglesjo01
Tyler Jay,30,us US,L,L,"6' 1""",185,Apr 19 1994,1st,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,jayty01
Francisco Lindor,30,pr PR,B,R,"5' 11""",190,Nov 14 1993,10,152,151,152,151,0,0,0,0,0,151,0,0,0,0,1,1,0,6.9,"$34,100,000 ",,lindofr01
Jorge López,31,pr PR,R,R,"6' 3""",200,Feb 10 1993,9,28,0,1,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$2,000,000 ",,lopezjo02
Joey Lucchesi,31,us US,L,L,"6' 5""",225,Jun 6 1993,6,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"$1,650,000 ",,lucchjo01
Sean Manaea,32,us US,R,L,"6' 5""",245,Feb 1 1992,9,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,3.0,"$14,500,000 ",,manaese01
Starling Marte,35,do DO,R,R,"6' 1""",195,Oct 9 1988,13,94,88,94,85,0,0,0,0,0,0,0,0,85,85,9,4,2,0.7,"$20,750,000 ",,martest01
J.D. Martinez,36,us US,R,R,"6' 3""",230,Aug 21 1987,14,120,114,120,0,0,0,0,0,0,0,0,0,0,0,118,6,0,0.5,"$12,000,000 ",,martijd02
Phil Maton,31,us US,R,R,"6' 2""",206,Mar 25 1993,8,31,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,,matonph01
Jeff McNeil,32,us US,L,R,"6' 1""",195,Apr 8 1992,7,129,117,129,128,0,0,0,110,0,0,15,0,17,28,0,7,1,1.6,"$10,250,000 ",,mcneije01
Tylor Megill,28,us US,R,R,"6' 7""",230,Jul 28 1995,4,16,15,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"$766,250 ",,megilty01
Omar Narváez,32,ve VE,L,R,"5' 11""",220,Feb 10 1992,9,28,21,28,28,0,28,0,0,0,0,0,0,0,0,0,0,0,-0.9,"$7,000,000 ",,narvaom01
Tomás Nido,30,pr PR,R,R,"5' 11""",211,Apr 12 1994,8,32,25,32,32,0,32,0,0,0,0,0,0,0,0,0,3,0,0.1,"$2,100,000 ",,nidoto01
Brandon Nimmo,31,us US,L,R,"6' 3""",206,Mar 27 1993,9,151,146,151,147,0,0,0,0,0,0,142,28,0,147,4,2,1,2.2,"$20,500,000 ",,nimmobr01
Dedniel Núñez,28,do DO,R,R,"6' 2""",180,Jun 5 1996,1st,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.8,"$740,000 ",,nunezde01
Eric Orze,26,us US,R,R,"6' 4""",195,Aug 21 1997,1st,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,orzeer01
Adam Ottavino,38,us US,B,R,"6' 5""",246,Nov 22 1985,14,60,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"$4,500,000 ",,ottavad01
David Peterson,28,us US,L,L,"6' 6""",240,Sep 3 1995,5,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,2.9,"$2,150,000 ",,peterda01
Jose Quintana,35,co CO,R,L,"6' 1""",220,Jan 24 1989,13,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,2.5,"$13,000,000 ",,quintjo01
Brooks Raley,36,us US,L,L,"6' 3""",200,Jun 29 1988,7,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"$6,500,000 ",,raleybr01
Yohan Ramírez,29,do DO,R,R,"6' 4""",212,May 6 1995,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,ramiryo01
Sean Reid-Foley,28,gu GU,R,R,"6' 3""",230,Aug 30 1995,7,23,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,reidfse01
Pablo Reyes,30,do DO,R,R,"5' 8""",175,Sep 5 1993,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,,,reyespa01
Christian Scott,25,us US,R,R,"6' 4""",215,Jun 15 1999,1st,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$740,000 ",,scottch01
Kodai Senga,31,jp JP,L,R,"6' 1""",202,Jan 30 1993,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$15,000,000 ",,sengako01
Luis Severino,30,do DO,R,R,"6' 2""",218,Feb 20 1994,9,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,1.6,"$13,000,000 ",,severlu01
Zack Short,29,us US,R,R,"5' 10""",180,May 29 1995,4,10,3,10,7,0,0,0,1,5,1,0,0,0,0,1,3,3,-0.1,,,shortza01
Drew Smith,30,us US,R,R,"6' 2""",190,Sep 24 1993,6,19,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$2,225,000 ",,smithdr01
Ryne Stanek,32,us US,R,R,"6' 4""",226,Jul 26 1991,8,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,stanery01
DJ Stewart,30,us US,L,R,"6' 0""",210,Nov 30 1993,7,74,48,74,36,0,0,1,0,0,0,11,0,26,36,24,24,1,-0.8,"$1,380,000 ",,stewadj01
Cole Sulser,34,us US,R,R,"6' 1""",190,Mar 12 1990,6,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,sulseco01
Tyrone Taylor,30,us US,R,R,"6' 1""",218,Jan 22 1994,6,130,76,130,113,0,0,0,0,0,0,21,44,70,113,7,21,14,2.0,"$2,025,000 ",,tayloty01
Julio Teheran,33,co CO,R,R,"6' 2""",205,Jan 27 1991,13,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,teherju01
Michael Tonkin,34,us US,R,R,"6' 7""",220,Nov 19 1989,7,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,"$1,000,000 ",,tonkimi01
Luis Torrens,28,ve VE,R,R,"5' 11""",217,May 2 1996,7,48,35,47,45,1,44,0,0,0,0,0,0,0,0,2,6,1,0.7,,,torrelu01
Mark Vientos,24,us US,R,R,"6' 4""",185,Dec 11 1999,3,111,105,111,110,0,0,4,0,108,0,0,0,0,0,1,5,0,3.1,"$740,000 ",,vientma01
Josh Walker,29,us US,L,L,"6' 6""",225,Dec 1 1994,2,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"$740,000 ",,walkejo03
Joey Wendle,34,us US,L,R,"6' 1""",195,Apr 26 1990,9,18,10,18,18,0,0,0,8,7,3,0,0,0,0,0,0,0,-0.1,"$2,000,000 ",,wendljo01
Jesse Winker,30,us US,L,L,"6' 2""",206,Aug 17 1993,8,44,33,44,27,0,0,0,0,0,0,12,0,15,27,10,11,0,0.1,,,winkeje01
Alex Young,30,us US,L,L,"6' 3""",220,Sep 9 1993,6,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,youngal01
Danny Young,30,us US,L,L,"6' 3""",200,May 27 1994,3,42,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"$740,000 ",,youngda02
Kolby Allard,26,us US,L,L,"6' 1""",195,Aug 13 1997,7,7,4,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$1,000,000 ",,allarko01
José Alvarado,29,ve VE,L,L,"6' 2""",245,May 21 1995,8,66,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$9,016,666 ",,alvarjo03
Tanner Banks,32,us US,R,L,"6' 1""",205,Oct 24 1991,3,22,1,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,banksta01
Alec Bohm,27,us US,R,R,"6' 5""",218,Aug 3 1996,5,143,140,143,138,0,0,15,0,129,0,0,0,0,0,3,3,0,3.0,"$4,000,000 ",All-Star,bohmal01
Connor Brogdon,29,us US,R,R,"6' 6""",205,Jan 29 1995,5,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,,,brogdco01
Nick Castellanos,32,us US,R,R,"6' 4""",203,Mar 4 1992,12,162,162,162,157,0,0,0,0,0,0,0,0,157,157,5,0,0,0.8,"$20,000,000 ",,casteni01
Kody Clemens,28,us US,L,R,"6' 1""",200,May 15 1996,3,44,24,43,40,1,0,15,8,11,0,7,0,0,7,1,17,0,0.3,"$740,000 ",,clemeko01
David Dahl,30,us US,L,R,"6' 1""",197,Apr 1 1994,7,19,16,19,15,0,0,0,0,0,0,13,0,2,15,3,2,0,0.3,,,dahlda01
Seranthony Domínguez,29,do DO,R,R,"6' 1""",225,Nov 25 1994,6,38,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$4,250,000 ",,dominse01
Carlos Estévez,31,do DO,R,R,"6' 6""",277,Dec 28 1992,8,20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0.6,,,estevca01
Aramis Garcia,31,us US,R,R,"6' 2""",228,Jan 12 1993,5,3,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,garciar01
Tyler Gilbert,30,us US,L,L,"6' 3""",223,Dec 22 1993,4,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,gilbety01
Bryce Harper,31,us US,L,R,"6' 3""",210,Oct 16 1992,13,145,145,145,142,0,0,142,0,0,0,0,0,0,0,3,0,0,4.8,"$27,538,461 ",All-Star,harpebr03
Austin Hays,28,us US,R,R,"5' 11""",200,Jul 5 1995,7,22,21,22,21,0,0,0,0,0,0,21,0,0,21,0,1,0,-0.3,,,haysau01
Jeff Hoffman,31,us US,R,R,"6' 5""",235,Jan 8 1993,9,68,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,2.0,"$2,200,000 ",All-Star,hoffmje02
Seth Johnson,25,us US,R,R,"6' 1""",205,Sep 19 1998,1st,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,,johnsse01
Buddy Kennedy,25,us US,R,R,"5' 10""",190,Oct 5 1998,3,8,2,8,5,0,0,0,2,3,0,0,0,0,0,1,4,0,0.0,"$740,000 ",,kennebu01
Orion Kerkering,23,us US,R,R,"6' 2""",204,Apr 4 2001,2,64,2,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,1.6,"$742,500 ",,kerkeor01
Max Lazar,25,us US,R,R,"6' 1""",200,Jun 3 1999,1st,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,lazarma01
Rafael Marchán,25,ve VE,B,R,"5' 9""",170,Feb 25 1999,3,17,14,17,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0.7,"$750,000 ",,marchra01
Brandon Marsh,26,us US,L,R,"6' 4""",215,Dec 18 1997,4,135,115,135,133,0,0,0,0,0,0,97,53,8,133,0,15,0,3.1,"$766,500 ",,marshbr02
Yunior Marte,29,do DO,R,R,"6' 2""",180,Feb 2 1995,3,23,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,"$751,500 ",,marteyu01
Michael Mercado,25,us US,R,R,"6' 4""",205,Apr 15 1999,1st,5,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,,,mercami01
Whit Merrifield,35,us US,R,R,"6' 1""",195,Jan 24 1989,9,53,40,53,47,0,0,0,14,12,0,26,0,0,26,4,7,4,0.1,"$7,000,000 ",,merriwh01
Nick Nelson,28,us US,R,R,"6' 1""",205,Dec 5 1995,5,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,nelsoni01
Aaron Nola,31,us US,R,R,"6' 2""",200,Jun 4 1993,10,33,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,3.6,"$24,571,429 ",,nolaaa01
Luis Ortiz,28,us US,R,R,"6' 3""",230,Sep 22 1995,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$744,000 ",,ortizlu02
Cristian Pache,25,do DO,R,R,"6' 2""",215,Nov 19 1998,5,50,30,50,45,0,0,0,0,0,0,18,30,1,45,2,7,3,0.1,"$760,500 ",,pachecr01
Tyler Phillips,26,us US,R,R,"6' 5""",225,Oct 27 1997,1st,8,7,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,,,phillty01
Ricardo Pinto,30,ve VE,R,R,"6' 0""",195,Jan 20 1994,3,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,,pintori01
J.T. Realmuto,33,us US,R,R,"6' 1""",212,Mar 18 1991,11,99,99,99,99,0,99,0,0,0,0,0,0,0,0,0,0,0,3.0,"$23,875,000 ",,realmjt01
Johan Rojas,23,do DO,R,R,"5' 11""",165,Aug 14 2000,2,120,102,120,116,0,0,0,0,0,0,0,116,0,116,1,2,7,0.7,"$745,000 ",,rojasjo03
José Ruiz,29,ve VE,R,R,"6' 1""",245,Oct 21 1994,8,52,0,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,,ruizjo01
Cristopher Sánchez,27,do DO,L,L,"6' 1""",165,Dec 12 1996,4,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,3.4,"$753,500 ",All-Star,sanchcr01
Kyle Schwarber,31,us US,L,R,"6' 0""",229,Mar 5 1993,10,150,149,150,5,0,0,0,0,0,0,5,0,0,5,144,1,0,3.5,"$20,000,000 ",,schwaky01
Edmundo Sosa,28,pa PA,R,R,"6' 0""",210,Mar 6 1996,6,90,68,90,86,0,0,0,20,23,48,0,0,0,0,0,11,1,2.3,"$1,700,000 ",,sosaed01
Gregory Soto,29,do DO,L,L,"6' 1""",234,Feb 11 1995,6,43,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$5,000,000 ",,sotogr01
Cal Stevenson,27,us US,L,L,"5' 9""",175,Sep 12 1996,3,18,6,18,16,0,0,0,0,0,0,2,10,4,16,0,7,0,-0.1,,,steveca01
Bryson Stott,26,us US,L,R,"6' 3""",200,Oct 6 1997,3,148,134,148,144,0,0,0,137,0,14,0,0,0,0,1,13,0,2.5,"$768,000 ",,stottbr01
Matt Strahm,32,us US,R,L,"6' 2""",190,Nov 12 1991,9,66,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,2.5,"$7,500,000 ",All-Star,strahma01
Garrett Stubbs,31,us US,L,R,"5' 10""",170,May 26 1993,6,56,47,54,55,4,52,0,0,0,0,0,0,0,0,0,1,1,0.1,"$850,000 ",,stubbga01
Ranger Suárez,28,ve VE,L,L,"6' 1""",217,Aug 26 1995,7,27,27,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,2.6,"$5,050,000 ",All-Star,suarera01
Spencer Turnbull,31,us US,R,R,"6' 3""",210,Sep 18 1992,6,17,7,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,1.2,"$2,000,000 ",,turnbsp01
Trea Turner,31,us US,R,R,"6' 2""",185,Jun 30 1993,10,121,121,121,118,0,0,0,0,0,118,0,0,0,0,3,0,0,3.0,"$27,272,727 ",All-Star,turnetr01
Taijuan Walker,31,us US,B,R,"6' 4""",235,Aug 13 1992,12,19,15,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,-1.6,"$18,000,000 ",,walketa01
Zack Wheeler,34,us US,L,R,"6' 4""",195,May 30 1990,10,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,6.1,"$23,500,000 ",All-Star,wheelza01
Weston Wilson,29,us US,R,R,"6' 1""",215,Sep 11 1994,2,41,21,40,35,1,0,3,4,5,0,21,1,4,25,0,14,0,0.7,"$740,000 ",,wilsowe01
Ronald Acuña Jr.,26,ve VE,R,R,"6' 0""",205,Dec 18 1997,7,49,49,49,49,0,0,0,0,0,0,0,0,49,49,0,0,0,0.0,"$17,000,000 ",,acunaro01
Ozzie Albies,27,cw CW,B,R,"5' 8""",165,Jan 7 1997,8,99,99,99,99,0,0,0,99,0,0,0,0,0,0,0,0,0,1.6,"$7,000,000 ",,albieoz01
Nacho Alvarez Jr.,21,us US,R,R,"5' 11""",190,Apr 11 2003,1st,8,8,8,8,0,0,0,7,1,0,0,0,0,0,0,0,0,-0.5,,,alvarna01
Brian Anderson,31,us US,R,R,"6' 2""",215,May 19 1993,8,3,2,3,3,0,0,0,0,1,0,0,0,2,2,0,0,0,-0.2,,,anderbr06
Orlando Arcia,29,ve VE,R,R,"6' 0""",187,Aug 4 1994,9,157,156,157,157,0,0,0,0,0,157,0,0,0,0,0,0,0,0.5,"$2,000,000 ",,arciaor01
Cavan Biggio,29,us US,L,R,"6' 2""",200,Apr 11 1995,6,4,1,4,4,0,0,0,4,0,0,0,0,0,0,0,2,1,-0.2,,,biggica01
John Brebbia,34,us US,L,R,"6' 1""",205,May 30 1990,7,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,brebbjo01
Aaron Bummer,30,us US,L,L,"6' 3""",215,Sep 21 1993,8,56,0,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0.6,"$5,500,000 ",,bummeaa01
Jesse Chavez,40,us US,R,R,"6' 1""",180,Aug 21 1983,17,46,0,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$740,000 ",,chaveje01
Travis d'Arnaud,35,us US,R,R,"6' 2""",210,Feb 10 1989,12,99,79,99,89,0,89,0,0,0,0,0,0,0,0,0,15,0,1.1,"$8,000,000 ",,darnatr01
Dylan Dodd,26,us US,L,L,"6' 2""",210,Jun 6 1998,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$740,000 ",,dodddy01
Parker Dunshee,29,us US,R,R,"6' 0""",215,Feb 12 1995,1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,dunshpa01
Adam Duvall,35,us US,R,R,"6' 1""",233,Sep 4 1988,11,104,74,104,91,0,0,0,0,0,0,50,0,46,91,4,23,4,-1.4,"$3,000,000 ",,duvalad01
Bryce Elder,25,us US,R,R,"6' 2""",220,May 19 1999,3,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,"$740,000 ",,elderbr01
David Fletcher,30,us US,R,R,"5' 9""",185,May 31 1994,7,5,3,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0.0,"$6,000,000 ",,fletcda02
Max Fried,30,us US,L,L,"6' 4""",190,Jan 18 1994,8,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,3.5,"$15,000,000 ",All-Star,friedma01
Luis Guillorme,29,ve VE,L,R,"5' 10""",190,Sep 27 1994,7,10,6,9,9,1,0,0,7,0,1,0,0,0,0,0,1,0,-0.3,"$1,100,000 ",,guilllu01
Michael Harris II,23,us US,L,L,"6' 0""",195,Mar 7 2001,3,110,109,110,110,0,0,0,0,0,0,0,110,0,110,0,0,0,3.2,"$5,000,000 ",,harrimi04
Jimmy Herget,30,us US,R,R,"6' 3""",170,Sep 9 1993,6,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,hergeji01
Daysbel Hernández,27,cu CU,R,R,"5' 10""",220,Sep 15 1996,2,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.4,"$740,000 ",,hernada03
Grant Holmes,28,us US,L,R,"6' 0""",226,Mar 22 1996,1st,26,7,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,1.1,"$740,000 ",,holmegr01
Raisel Iglesias,34,cu CU,R,R,"6' 2""",190,Jan 4 1990,10,66,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,2.9,"$16,000,000 ",,iglesra01
Luke Jackson,32,us US,R,R,"6' 2""",210,Aug 24 1991,9,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,jackslu01
Joe Jiménez,29,pr PR,R,R,"6' 3""",277,Jan 17 1995,8,69,0,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,1.8,"$8,000,000 ",,jimenjo02
Pierce Johnson,33,us US,R,R,"6' 2""",202,May 10 1991,7,58,0,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$7,000,000 ",,johnspi01
Jarred Kelenic,24,us US,L,L,"6' 1""",206,Jul 16 1999,4,131,110,131,124,0,0,0,0,0,0,75,50,1,124,0,12,1,0.4,"$760,000 ",,kelenja01
Ray Kerr,29,us US,L,L,"6' 3""",185,Sep 10 1994,3,10,2,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$740,000 ",,kerrra01
Ramón Laureano,29,do DO,R,R,"5' 11""",203,Jul 15 1994,7,67,54,67,65,0,0,0,0,0,0,26,4,42,65,0,6,1,1.3,,,laurera01
Dylan Lee,29,us US,L,L,"6' 3""",214,Aug 1 1994,4,52,0,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,1.3,"$760,000 ",,leedy01
Reynaldo López,30,do DO,R,R,"6' 1""",225,Jan 4 1994,9,26,25,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,5.1,"$4,000,000 ",All-Star,lopezre01
J.P. Martínez,28,cu CU,L,L,"5' 8""",174,Mar 21 1996,2,7,1,7,5,0,0,0,0,0,0,2,1,2,5,1,3,2,0.0,"$740,000 ",,martijp01
Tyler Matzek,33,us US,L,L,"6' 3""",230,Oct 19 1990,6,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,"$1,900,000 ",,matzety01
Whit Merrifield,35,us US,R,R,"6' 1""",195,Jan 24 1989,9,42,40,42,41,0,0,0,40,1,0,0,0,0,0,0,0,2,0.2,,,merriwh01
A.J. Minter,30,us US,L,L,"6' 0""",215,Sep 2 1993,8,39,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,1.1,"$6,220,000 ",,minteaj01
Charlie Morton,40,us US,R,R,"6' 5""",215,Nov 12 1983,17,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,1.1,"$20,000,000 ",,mortoch02
Sean Murphy,29,us US,R,R,"6' 3""",228,Oct 4 1994,6,72,67,72,69,0,69,0,0,0,0,0,0,0,0,0,3,0,1.3,"$9,000,000 ",,murphse01
Matt Olson,30,us US,L,R,"6' 5""",225,Mar 29 1994,9,162,162,162,162,0,0,162,0,0,0,0,0,0,0,0,0,0,3.8,"$22,000,000 ",,olsonma02
Marcell Ozuna,33,do DO,R,R,"6' 1""",225,Nov 12 1990,12,162,162,162,0,0,0,0,0,0,0,0,0,0,0,162,0,0,4.3,"$18,000,000 ",All-Star,ozunama01
Austin Riley,27,us US,R,R,"6' 3""",240,Apr 2 1997,6,110,110,110,110,0,0,0,0,110,0,0,0,0,0,0,0,0,2.9,"$21,000,000 ",,rileyau01
Eddie Rosario,32,pr PR,L,R,"6' 1""",180,Sep 28 1991,10,24,23,24,24,0,0,0,0,0,0,24,0,0,24,0,1,0,-0.4,,,rosared01
Chris Sale,35,us US,L,L,"6' 6""",180,Mar 30 1989,14,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,6.2,"$16,000,000 ",All-Star,salech01
Spencer Schwellenbach,24,us US,R,R,"6' 1""",200,May 31 2000,1st,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,2.7,"$740,000 ",,schwesp01
Zack Short,29,us US,R,R,"5' 10""",180,May 29 1995,4,30,17,30,27,0,0,0,2,15,10,0,0,0,0,1,2,5,0.2,"$747,300 ",,shortza01
AJ Smith-Shawver,21,us US,R,R,"6' 3""",205,Nov 20 2002,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$740,000 ",,smithaj01
Jorge Soler,32,cu CU,R,R,"6' 4""",235,Feb 25 1992,11,49,46,49,46,0,0,0,0,0,0,3,0,43,46,0,3,0,0.1,,,solerjo01
Jackson Stephens,30,us US,R,R,"6' 2""",220,May 11 1994,5,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,stephja01
Spencer Strider,25,us US,R,R,"6' 0""",195,Oct 28 1998,4,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$1,000,000 ",,stridsp01
